Dates,Power Station,Monitored Cap.(MW),Total Cap. Under Maintenace (MW),Planned Maintanence (MW),Forced Maintanence(MW),Other Reasons (MW),Programme or Expected(MU),Actual(MU),Excess(+) / Shortfall (-),Deviation
2017-09-01,Delhi,2235.4,135,0,135,0,13,18,5,0
2017-09-01,Haryana,2720,2470,0,2470,0,28,7,-21.8,0
2017-09-01,Himachal Pradesh,3378,379,0,231,0,40,46,5.63,0
2017-09-01,Jammu and Kashmir,1285,150,0,0,0,14,23,9.43,0
2017-09-01,Punjab,3826.3,2697.65,77.65,2620,0,39,17,-21.69,0
2017-09-01,Rajasthan,6864.8,3283.5,1410,1505,0,83,69,-14.41,0
2017-09-01,Uttarakhand,1252.15,334,258,76,0,19,19,0.11,0
2017-09-01,Uttar Pradesh,6274.6,2505.6,377,2128.6,0,103,68,-35.29,0
2017-09-01,ADHPL,192,0,0,0,0,2,3,1.05,0
2017-09-01,AHPC (GVK),330,0,0,0,0,6,8,1.37,0
2017-09-01,APCPL,1500,500,0,500,0,15,14,-0.19,0
2017-09-01,APL,1320,660,0,660,0,22,12,-10.62,0
2017-09-01,BEPL,450,450,45,405,0,6,0,-6.7,0
2017-09-01,DAE,100,100,0,100,0,0,0,0,0
2017-09-01,E.P.P.L.,100,0,0,0,0,1,2,0.58,0
2017-09-01,GBHPPL,70,0,0,0,0,0,1,0.89,0
2017-09-01,GIPL,225,0,0,0,0,1,2,1.27,0
2017-09-01,GPGSL (GVK),540,270,0,270,0,4,5,1.01,0
2017-09-01,HBPCL,1300,0,0,0,0,22,33,10.98,0
2017-09-01,HSPCL,0,0,0,0,0,0,0,0,0
2017-09-01,IAEPL,24,0,0,0,0,0,0,0,0
2017-09-01,JhPL(HR),1320,0,0,0,0,12,18,6.93,0
2017-09-01,JPPVL,400,0,0,0,0,6,10,3.62,0
2017-09-01,LAPPL,1200,0,0,0,0,22,18,-4.13,0
2017-09-01,LPGCL,1980,660,0,660,0,22,18,-4.42,0
2017-09-01,MPCL,86,0,0,0,0,1,2,0.73,0
2017-09-01,MUNPL,0,0,0,0,0,0,0,0,0
2017-09-01,NDPL,108,108,0,0,0,0,0,0,0
2017-09-01,NHPC,4154.2,217,0,206,0,69,75,6.01,0
2017-09-01,NLC,250,125,0,125,0,4,2,-1.73,0
2017-09-01,NPCIL,1520,0,0,0,0,30,35,5.21,0
2017-09-01,NPL,1400,0,0,0,0,23,17,-5.81,0
2017-09-01,NTPC Ltd.,12659.06,3364.66,710,995,0,182,162,-19.98,0
2017-09-01,NTPGPL,0,0,0,0,0,2,0,-2.4,0
2017-09-01,PPGCL (Jaypee),1980,1320,0,1320,0,12,12,-0.02,0
2017-09-01,RPSCL,1200,300,0,300,0,21,18,-2.34,0
2017-09-01,RWPL (JSW),1080,270,0,270,0,17,11,-6.24,0
2017-09-01,SJVNL,1912.02,0,0,0,0,34,46,12.08,0
2017-09-01,SrEPL,225,0,0,0,0,1,4,3.55,0
2017-09-01,THDC,1400,0,0,0,0,17,10,-6.89,0
2017-09-01,TSPL,1980,660,0,660,0,18,20,1.94,0
2017-09-01,Chhatisgarh,3400,360,210,150,0,51,55,4.75,0
2017-09-01,Gujarat,8917.82,4967,410,3130,0,80,32,-48.61,0
2017-09-01,Madhya Pradesh,4955,1745,1285,460,0,63,48,-15.36,0
2017-09-01,Maharashtra,13248,5534,630,4460,0,158,114,-44.78,0
2017-09-01,ACB,325,160,135,25,0,5,3,-1.76,0
2017-09-01,AMNEPL,246,246,0,246,0,0,0,0,0
2017-09-01,APL,7920,2970,0,2970,0,122,95,-27.22,0
